reading time,reader id,poster id
2012-11-23 10:07:00,172,132
2012-11-23 10:07:00,53,132
2012-11-23 10:07:00,53,132
2012-11-23 10:08:00,224,132
2012-11-23 10:08:00,172,132
2012-11-23 10:08:00,152,132
2012-11-23 10:08:00,78,132
2012-11-23 10:08:00,53,132
2012-11-23 10:08:00,35,132
2012-11-23 10:08:00,13,132
2012-11-23 10:09:00,60,132
2012-11-23 10:10:00,313,132
2012-11-23 10:10:00,297,132
2012-11-23 10:10:00,133,132
2012-11-23 10:11:00,14,280
2012-11-23 10:11:00,244,132
2012-11-23 10:11:00,225,132
2012-11-23 10:11:00,172,132
2012-11-23 10:11:00,148,132
2012-11-23 10:11:00,35,132
2012-11-23 10:12:00,133,316
2012-11-23 10:12:00,35,316
2012-11-23 10:12:00,13,316
2012-11-23 10:12:00,313,132
2012-11-23 10:12:00,280,132
2012-11-23 10:12:00,13,132
2012-11-23 10:12:00,316,35
2012-11-23 10:12:00,316,35
2012-11-23 10:12:00,133,35
2012-11-23 10:12:00,78,35
2012-11-23 10:12:00,13,35
2012-11-23 10:12:00,12,35
2012-11-23 10:13:00,280,316
2012-11-23 10:13:00,252,316
2012-11-23 10:13:00,120,314
2012-11-23 10:13:00,280,297
2012-11-23 10:13:00,225,297
2012-11-23 10:13:00,120,297
2012-11-23 10:13:00,99,297
2012-11-23 10:13:00,39,297
2012-11-23 10:13:00,252,280
2012-11-23 10:13:00,35,280
2012-11-23 10:13:00,119,152
2012-11-23 10:13:00,316,132
2012-11-23 10:13:00,314,132
2012-11-23 10:13:00,252,132
2012-11-23 10:13:00,172,132
2012-11-23 10:13:00,119,132
2012-11-23 10:13:00,297,99
2012-11-23 10:13:00,120,99
2012-11-23 10:13:00,252,35
2012-11-23 10:13:00,225,35
2012-11-23 10:13:00,152,35
2012-11-23 10:13:00,119,35
2012-11-23 10:13:00,53,35
2012-11-23 10:14:00,309,297
2012-11-23 10:14:00,172,297
2012-11-23 10:14:00,210,280
2012-11-23 10:14:00,39,280
2012-11-23 10:14:00,297,210
2012-11-23 10:14:00,172,210
2012-11-23 10:14:00,53,210
2012-11-23 10:14:00,4,132
2012-11-23 10:14:00,39,99
2012-11-23 10:14:00,297,35
2012-11-23 10:14:00,307,14
2012-11-23 10:15:00,313,316
2012-11-23 10:15:00,205,316
2012-11-23 10:15:00,35,314
2012-11-23 10:15:00,260,297
2012-11-23 10:15:00,244,297
2012-11-23 10:15:00,141,297
2012-11-23 10:15:00,313,280
2012-11-23 10:15:00,4,280
2012-11-23 10:15:00,309,210
2012-11-23 10:15:00,224,210
2012-11-23 10:15:00,313,152
2012-11-23 10:15:00,244,152
2012-11-23 10:15:00,225,152
2012-11-23 10:15:00,39,152
2012-11-23 10:15:00,244,99
2012-11-23 10:15:00,225,99
2012-11-23 10:15:00,313,35
2012-11-23 10:15:00,205,35
2012-11-23 10:15:00,148,35
2012-11-23 10:15:00,99,35
2012-11-23 10:15:00,39,35
2012-11-23 10:15:00,39,14
2012-11-23 10:15:00,260,13
2012-11-23 10:15:00,53,13
2012-11-23 10:16:00,39,316
2012-11-23 10:16:00,13,316
2012-11-23 10:16:00,4,316
2012-11-23 10:16:00,313,314
2012-11-23 10:16:00,280,297
2012-11-23 10:16:00,53,297
2012-11-23 10:16:00,309,152
2012-11-23 10:16:00,309,152
2012-11-23 10:16:00,78,152
2012-11-23 10:16:00,170,132
2012-11-23 10:16:00,313,99
2012-11-23 10:16:00,297,78
2012-11-23 10:16:00,148,78
2012-11-23 10:16:00,99,78
2012-11-23 10:16:00,39,35
2012-11-23 10:16:00,4,35
2012-11-23 10:16:00,309,13
2012-11-23 10:17:00,309,297
2012-11-23 10:17:00,172,297
2012-11-23 10:17:00,148,297
2012-11-23 10:17:00,119,297
2012-11-23 10:17:00,99,297
2012-11-23 10:17:00,6,297
2012-11-23 10:17:00,99,280
2012-11-23 10:17:00,6,280
